,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
2831,2831,3056,AAHX8KAiXtTEs1lK39wpxd6E,공과대학,공학,1,정원내신입학,졸업,건축학과,도시계획 및 도시설계전공,AAHgiM2C3WUM7yWRxcTuz+r0,korean,석사과정,2019,2R,19900929,2019,2R,4.25,4,36.13,60,자교,,39540000,1647500
2832,2832,3057,AAEnlz3+xwyizXE0yFSn0Vc1,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAGopWa0c7/Rh6S3QHrGGKvP,korean,석사과정,2019,2R,19910417,2019,2R,4.19,4,47,49,자교,,43560000,1815000
2833,2833,3058,AAFM1P1LLTu0HWfiSIX4exNE,공과대학,공학,2,정원내신입학,졸업,건축사회환경공학과,기후 및 에너지공학전공,AAF3gwz/EroDu8ymIDNVRNmZ,korean,석사과정,2019,2R,19930928,2019,2R,4.07,4,45,49,타교,,34035300,1418138
2834,2834,3059,AAEZvdS7F+BH7rh+crLiYLGp,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAHpTShsDJo8lel4DbFdlag7,korean,석사과정,2019,2R,19900220,2019,2R,4.06,4,49,50,타교,,34973992,1457250
2835,2835,3060,AAEp4MoFPBVrihTx0PSnDjof,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,건설시스템 경영 및 관리,AAHiW/FO5nAwUcJTW4KXIxg2,korean,석사과정,2019,2R,19890622,2019,2R,4.14,4,48,48.5,타교,,14372000,598833
2836,2836,3061,AAFMwxfRKp0rs9H8paE/oVtB,공과대학,공학,1,외국인,졸업,건축사회환경공학과,건설시스템 경영 및 관리,AAGt4tT4YHtLHUas1+cZcz2X,foreigner,석사과정,2019,2R,19900418,2019,2R,4.19,4,83,,타교,,28152000,1173000
2837,2837,3062,AAHlOIUQZK3It1WZkuqXyblX,공과대학,공학,2,외국인,졸업,건축사회환경공학과,사회인프라전공,AAGCqxpkl1TslVbWwzL7IA5K,foreigner,석사과정,2019,2R,19950606,2019,2R,4,4,80,,타교,,39920000,1663333
2838,2838,3063,AAFyZD//eV1W0TYuKHEOwwxP,공과대학,공학,2,외국인,졸업,건축사회환경공학과,사회인프라전공,AAHVEHlNvzWQFCLtWNufAFQh,foreigner,석사과정,2019,2R,19930814,2019,2R,4.26,4,89,,타교,,42840000,1785000
2850,2850,3075,AAEkhUdaWdIGInSNVyMAKRP4,공과대학,공학,2,정원내신입학,졸업,미세소자공학협동과정,마이크로소자전공,AAHCS8Vz8WAW5jcXZ96IK161,korean,석사과정,2019,2R,19930326,2019,2R,4.13,4,45,45,타교,,,0
2851,2851,3076,AAEGdKjzHBO7khwlBU1s6akb,공과대학,공학,1,정원내신입학,졸업,미세소자공학협동과정,반도체소자전공,AAEClPAQjORZKayEf40sZEcD,korean,석사과정,2019,2R,19920304,2019,2R,4.28,4,45,48,타교,,,0
2853,2853,3078,AAGkimgA8lAwZFIU2gBZvr8i,공과대학,공학,1,정원외-계약학과,졸업,반도체시스템공학과,나노반도체재료및소자전공,AAE330+czTet4zmy3RsNp6PW,korean,석사과정,2019,2R,19901225,2019,2R,4.13,4,47,43,타교,,1050000,43750
2854,2854,3079,AAGQ8aPMsfvI1Gu5YN20eZa2,공과대학,공학,1,정원외-계약학과,졸업,반도체시스템공학과,나노반도체재료및소자전공,AAFdRZU5Uy5qf4+4nNEb3Bx6,korean,석사과정,2019,2R,19930130,2019,2R,4.38,4,45,46,자교,,,0
2855,2855,3080,AAFbuIqVFGz4yYZ+E86oMFvg,공과대학,공학,2,학연산협동과정,졸업,건축사회환경공학과,물과 환경전공,AAEhofQwTVQKctfpDuG/lbed,korean,석사과정,2019,2R,19920527,2019,2R,4.25,4,49,49,타교,,,0
2856,2856,3081,AAE6jTL5bSNeqO+zlxE93lxb,공과대학,공학,2,학연산협동과정,졸업,건축사회환경공학과,물과 환경전공,AAGopWa0c7/Rh6S3QHrGGKvP,korean,석사과정,2019,2R,19920307,2019,2R,3.75,4,46,50,타교,,,0
2857,2857,3082,AAG5W+I2HQYEaqOa4QHdnyib,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAGf8vYauYE4gGkoGe41B95E,korean,석사과정,2019,2R,19941018,2019,2R,4.06,4,49,49,자교,,37208000,1550333
2862,2862,3088,AAFbjntF3/p+6BavjfZj8EI0,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAE330+czTet4zmy3RsNp6PW,korean,석사과정,2019,2R,19920512,2019,2R,4.38,4,57,40,자교,,35690000,1487083
2868,2868,3094,AAFppiePb6kOWu02/8D4vWXr,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAERHrdcBrOvIerqQuy+uKnG,korean,석사과정,2018,1R,19760205,2018,1R,3.82,5,46.33,43.33,타교,,,0
2870,2870,3096,AAHPyQ6u7Sak0mRr+EOHcb4h,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAEq8HcBVKlZ1zoHoDD1+2+v,korean,석사과정,2019,1R,19900503,2019,2R,4.1,4,45.33,31.67,타교,,35964000,1498500
2871,2871,3097,AAFRO4ruo1aDo0kC8Ih3Etom,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAGXlfpkTlt2jDHcvujVd5hy,korean,석사과정,2019,1R,19891216,2019,2R,3.93,4,43,33,타교,,44660000,1860833
2872,2872,3098,AAFybYCSW/uaq460R5df3asN,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAHgUVNRwv/2JnLflHfEFa8n,korean,석사과정,2019,1R,19910802,2019,2R,3.98,4,49.33,31.67,타교,,,0
2877,2877,3103,AAEy2iLp4t1h6U7cnWkgbU8F,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAGaCMeTjNaKuSWvzyinL5sl,korean,석사과정,2019,1R,19900630,2019,2R,3.68,4,44.33,32.67,타교,,,0
2878,2878,3104,AAGZ/ZhIgFeDWf9y8aW0loOc,공과대학,공학,2,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHInk8/FePfBTaicVyxuepA,korean,석사과정,2019,2R,19931227,2019,2R,4.38,5,53,38,자교,,9070000,302333
2900,2900,3126,AAEY1OPVXtVRWwUWZPcRd23A,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFukyr7xBbs8UJxDmTihFIk,korean,석사과정,2018,1R,19800917,2018,1R,4.44,4,48.7,47.1,타교,,,0
