,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
368,370,4117,AAF98lvEQ3TTydoweDCXWyKr,공과대학,공학,1,학연산협동과정,졸업,전기전자공학과,신호 및 멀티미디어전공,AAFptwmanjlLzXaPDP6w+HhG,korean,박사과정,2017,1R,19800815,2020,1R,4.33,10,49.2,48.3,타교,타교,22000000,366667
377,379,4281,AAF3FB1munfd7ZfEhlp9IMwf,공과대학,공학,1,학연산협동과정,졸업,신소재공학과,신소재공학전공,AAGng2Xk5q/nlflQ02KiFiAY,korean,박사과정,2019,2R,19880619,2021,1R,3.92,8,59,40,타교,타교,35680000,743333
384,386,4317,AAF6H/BXEJDuAN7cJypBmlNO,공과대학,공학,1,학연산협동과정,졸업,화공생명공학과,화공생명공학전공,AAEgg9xAPbUzkzqGsSdbE/vh,korean,박사과정,2019,1R,19871003,2021,1R,3.59,9,55.67,36.33,타교,타교,,0
388,390,4346,AAFgn3qyHUht8xTeDGGHBXmh,공과대학,공학,1,정원내신입학,졸업,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFj8wKRZTXkoQ3FcBubZYe+,korean,박사과정,2018,1R,19850217,2021,1R,4.21,10,44,46,타교,타교,86932816,1448880
398,400,4415,AAFvIr1wMz17k/NccmxQ3Zz9,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAGG7IhUZDZBJWEpoDSv+a2p,korean,박사과정,2019,1R,19820627,2021,1R,4.03,8,56.67,37,자교,자교,,0
399,401,4416,AAGgi2TYKG3kc3EjkEXBFhCs,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAE/vvg7RqvrU/xhKeyCSz8z,korean,박사과정,2019,1R,19870714,2021,1R,4.4,8,59.67,38.33,자교,자교,71296874,1485352
401,403,4428,AAGI9feKSJkTwPpL1BBTlZnp,공과대학,공학,2,학연산협동과정,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,박사과정,2018,2R,19870718,2021,1R,4,9,48,47,타교,자교,,0
410,412,4465,AAEyXWDietPupMs/mY9PgPnt,공과대학,공학,2,학연산협동과정,졸업,건축사회환경공학과,물과 환경전공,AAERHrdcBrOvIerqQuy+uKnG,korean,박사과정,2019,1R,19880117,2021,1R,4,8,45,45,타교,타교,,0
411,413,4468,AAH1UtNrPmIdFxNUF1ia8/rq,공과대학,공학,1,정원외-계약학과,졸업,나노포토닉스공학과,나노포토닉스전공,AAE/vvg7RqvrU/xhKeyCSz8z,korean,박사과정,2019,1R,19900103,2021,1R,3.83,8,39,59,타교,타교,18265000,380521
415,417,4485,AAHNvCBw630+2H0S9NjOhkz3,공과대학,공학,1,정원내신입학,졸업,기계공학과,기계공학전공,AAG9vgWMRYHtNalVfeopzK5v,korean,박사과정,2019,1R,19800725,2021,1R,4.42,8,43,43.5,타교,타교,,0
