,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
70,70,4256,AAFoj6HPl6RQNm7xJ6CMFnVw,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHInk8/FePfBTaicVyxuepA,korean,석·박사통합과정,2018,1R,19901115,2021,1R,4.14,12,76237277,52,39.5,자교,,1058851
71,71,4257,AAGYglbhaL8khGm5koBVpC6U,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAFT5aAQWoSTjHQ9sbU7sw8f,korean,석·박사통합과정,2018,1R,19920731,2021,1R,4.27,12,165845000,60,37.5,자교,,2303403
72,72,4269,AAH0cambjVyOn9yPQzT1K+Re,공과대학,공학,2,정원내신입학,졸업,기계공학과,기계공학전공,AAFj8wKRZTXkoQ3FcBubZYe+,korean,석·박사통합과정,2018,1R,19870929,2021,1R,4.08,12,101840800,46,46,타교,,1414456
73,73,4273,AAFRDuYJ6xtPZLfKujDlDiNE,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAGTszpzFC5e3mUi28BQAvQQ,korean,석·박사통합과정,2019,1R,19880416,2021,1R,4.14,10,136000000,48,31,자교,,2266667
74,74,4280,AAE5PONwLJE9FFptV75rBo0L,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAGTszpzFC5e3mUi28BQAvQQ,korean,석·박사통합과정,2018,1R,19900515,2021,1R,4.17,12,166919785,50,32,자교,,2318330
75,75,4284,AAG7nJvyBdDDtGOUvlR19gfQ,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2020,1R,19920404,2021,1R,4.42,8,68848000,40.7,41.5,타교,,1434333
76,76,4288,AAHUpNWcjOVHKVTdJLNUwX37,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAEYVfsfVhIHnbTEKHsFv2Gf,korean,석·박사통합과정,2018,2R,19921010,2021,1R,4.17,12,40503000,42,48.33,자교,,562542
77,77,4289,AAF8qJxPJu8SmCdqU07ufGsy,공과대학,공학,1,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAFD3xbYP2/G9DXqA0Ck4KRi,korean,석·박사통합과정,2018,1R,19930228,2021,1R,4.28,12,141182407,42.33,46,자교,,1960867
78,78,4291,AAE++89Z+OcpUq2/TF6CMVw/,공과대학,공학,2,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석·박사통합과정,2019,2R,19890803,2021,1R,4.31,9,58155000,45.3,45.2,타교,,1076944
79,79,4320,AAFZuBS6PQCE8/1KPrA+HOyw,공과대학,공학,2,외국인,졸업,건축사회환경공학과,사회인프라전공,AAEP/2yd50S/t/rqhY+2hT05,foreigner,석·박사통합과정,2019,1R,19900609,2021,1R,3.95,12,57297902,98,,타교,,795804
