,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
4052,4281,4871,AAElAgOC3kD7O4hUxvTy87qh,생명과학대학,자연과학,2,정원내신입학,졸업,생명과학과,분자의생명과학,AAGtxDuRbR8Wx2SWpu2ivtQ3,korean,석사과정,2021,1R,19950428,2021,1R,4.32,4,45,41.5,타교,,,0
4053,4282,4874,AAGKaqlGQRh9YzAncGqiClpp,공과대학,공학,2,정원내신입학,졸업,산업경영공학과,산업경영공학전공,AAFALvCxkcHPLh1HSG5JfBLX,korean,석사과정,2017,1R,19900516,2021,1R,3.69,12,39.67,40.33,타교,,12300000,170833
4054,4283,4875,AAEQ9/FNaS23OCeFzi+gASto,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAHc+0P1uuuM9uwKFqwm5JxB,korean,석사과정,2021,1R,19930921,2021,1R,4.25,4,46,46.8,자교,,37749050,1572877
4055,4284,4876,AAH9IOb/K3xB/aMJ109dRdJp,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAGRa74yKhWvEDti7PzpQ78q,korean,석사과정,2021,1R,19940812,2021,1R,4.06,4,47.6,47.6,타교,,40286900,1678621
4056,4285,4877,AAG2QewYfxcKputRGNar9Ewd,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAEhofQwTVQKctfpDuG/lbed,korean,석사과정,2021,1R,19930412,2021,1R,4.25,4,49,47.8,타교,,27554000,1148083
4057,4286,4879,AAGZrROmKpKKCYhAqyLo67KX,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,건설시스템 경영 및 관리,AAHpBFe+EZ/b+4BrGFPFBGbo,korean,석사과정,2021,1R,19921111,2021,1R,4.22,4,47.6,44,자교,,42615040,1775627
4058,4287,4881,AAFNEUjdXOSnQCi9J2Bb4FY4,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAHVEHlNvzWQFCLtWNufAFQh,korean,석사과정,2021,1R,19940325,2021,1R,4.11,4,43.6,47.8,자교,,52260120,2177505
4059,4288,4882,AAHBJ+mR0UIVsbHrlQp1m+Wg,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAHpTShsDJo8lel4DbFdlag7,korean,석사과정,2021,1R,19951221,2021,1R,3.94,4,44,48.6,타교,,33657529,1402397
4060,4289,4883,AAHSG0xijGdjUDqX3ck6jHzO,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAHVEHlNvzWQFCLtWNufAFQh,korean,석사과정,2021,1R,19910910,2021,1R,3.85,4,44.6,46.4,자교,,56695680,2362320
4061,4290,4886,AAGUwBtxKE4RMx7k7UBfKgJK,생명과학대학,자연과학,1,정원내신입학,졸업,생명공학과,시스템식품생명공학전공,AAFpMCxXDgNDCVrcLKeZkkzu,korean,석사과정,2020,2R,19931101,2021,1R,4.17,5,47,46.3,자교,,35199998,1173333
4062,4291,4887,AAENCQiaoOExJPsXUaUFtxa3,생명과학대학,자연과학,2,정원내신입학,졸업,생명공학과,시스템식품생명공학전공,AAFdqdv6Bx+KGXpXW57QqirL,korean,석사과정,2020,2R,19940518,2021,1R,4.13,5,43,36,타교,,29030000,967667
4063,4292,4888,AAEbi4ZGtR+7S20h8wCp+UAM,공과대학,공학,1,학연산협동과정,졸업,기계공학과,기계공학전공,AAHy8v9SxR3RPadDh04S1IFi,korean,석사과정,2020,2R,19940726,2021,1R,4,5,45,47,타교,,,0
4064,4293,4890,AAFX2zZx2e/YCSprriQDk7+K,간호대학,자연과학,2,정원내신입학,졸업,간호학과,간호과학,AAGB47RYqSqfDbQl2Y5q5RZs,korean,석사과정,2020,2R,19910830,2021,1R,4.45,5,57.67,39.33,자교,,33607200,1120240
4065,4294,4892,AAHHEvhmiDiw/Uci9v1s58xl,정경대학,인문·사회,1,정원내신입학,졸업,경제학과,경제학전공,AAG3W4zrJRMvBkxE+4pWO9An,korean,석사과정,2021,1R,19941214,2021,1R,4.44,4,75,20,자교,,13625000,567708
4066,4295,4893,AAHxcqHzxRrhmavm/cvnkPzf,정경대학,인문·사회,1,정원내신입학,졸업,경제학과,경제학전공,AAGYPjra7+U0jUlmlNoybYx4,korean,석사과정,2021,1R,19930521,2021,1R,3.83,4,68,12,타교,,17225000,717708
4067,4296,4894,AAGytEse5ALAQEYTEjCIfB/r,미디어학부,인문·사회,2,외국인,졸업,미디어학과,미디어학전공,AAHCzCYqzv3eFBEP5YdyEWuU,foreigner,석사과정,2020,2R,19951025,2021,1R,4.33,5,93,0,타교,,,0
4068,4297,4895,AAHjTw/x+KO2rz2QLHDTLNgQ,미디어학부,인문·사회,2,외국인,졸업,미디어학과,미디어학전공,AAH3J5qDkP++PiQ/NoColpfZ,foreigner,석사과정,2020,2R,19950715,2021,1R,4.06,5,74.7,0,타교,,,0
4069,4298,4896,AAHbJD9ZumtS2Tj7YXyN+E3N,정경대학,인문·사회,2,정원내신입학,졸업,경제학과,경제학전공,AAHWm3KrWZ5oxJSX8Qdd4FfT,korean,석사과정,2021,1R,19811008,2021,1R,4,4,66,18,타교,,,0
4070,4299,4897,AAElWWRB6SHceXrJiUakx9qs,의과대학,자연과학,2,정원내신입학,졸업,통일보건의학협동과정,통일보건의학전공,AAEkZqAWrgVCeavjwphRmSTw,korean,석사과정,2021,1R,19650108,2021,1R,4.5,4,41.3,49,타교,,,0
4071,4300,4898,AAGiocbdECK2S//bCqC0FPrU,보건과학대학,자연과학,2,정원내신입학,졸업,보건안전융합과학과,환경보건안전전공,AAHq1aLSiveQarv1QuOmgge9,korean,석사과정,2020,2R,19801203,2021,1R,4.44,5,43,46,타교,,56233308,1874444
4072,4301,4901,AAFkjEjlNzBFEC7JlqLVQtdF,문과대학,인문·사회,1,정원내신입학,졸업,중일어문학과,중국어학전공,AAFLkpbAXsqLbbDrv77W4E0Q,korean,석사과정,2017,1R,19890328,2021,1R,4.31,12,46,46,타교,,,0
